action,index,norm_cost,station_name,method,original,new
no_match,0,112638,10th Ramadan,,,
no_match,1,117948,15th May service station city,,,
no_match,2,105514,5th Settlement,,,
no_match,3,107818,6th October,,,
no_match,4,112617,A.U.C.,,,
no_match,5,502397,Abbas Elakkad COCO,,,
no_match,6,112753,Abbasa,,,
no_match,7,112770,Abboud,,,
no_match,8,112676,Abd El Salam Aref,,,
no_match,9,112884,Abu El Matamir,,,
no_match,10,113741,Abu El Matamir city,,,
no_match,11,112681,Abu Hammad,,,
no_match,12,112674,Abu Hammad City,,,
no_match,13,105483,Abu Hommos,,,
no_match,14,105484,Abu Kabir,,,
no_match,15,105478,Abu Nabhan,,,
no_match,16,112823,Abu Rawash Station,,,
no_match,17,105509,Abu Sekkin,,,
no_match,18,504299,Adham Ringroad Stati,,,
no_match,19,112921,Aga,,,
no_match,20,112734,Agamy Km 21 Station,,,
no_match,21,112110,Agriculture Road,,,
no_match,22,112647,Ahmed Orabi,,,
no_match,23,112585,Ain Sokhna,,,
no_match,24,507064,Alex Gate ,,,
no_match,25,500684,Alex west COCO S.S,,,
no_match,26,105524,Ibrahimia,,,
no_match,27,105499,Rahmania,,,
no_match,28,105474,Salhiya,,,
no_match,29,105492,Zagazig,,,
no_match,30,105522,Alex KM59,,,
no_match,31,112794,Amereya  Station,,,
no_match,32,503131,Andrea,,,
no_match,33,112848,Anshas Station,,,
no_match,34,505567,Asher Industrial Sta,,,
no_match,35,112771,Asyut,,,
no_match,36,112776,Auberge,,,
no_match,37,105496,Badr,,,
no_match,38,112619,Badr City,,,
no_match,39,105491,Badrasheen,,,
no_match,40,115422,Balteem service station,,,
no_match,41,504298,Basus Station,,,
no_match,42,500770,Belbies Station,,,
no_match,43,105523,Beni Mazar,,,
no_match,44,105500,Berkan,,,
no_match,45,105525,Berma,,,
no_match,46,116608,Beverly Hills Statio,,,
no_match,47,504812,Borg El Arab Station,,,
no_match,48,112758,Cairo Airport Statio,,,
no_match,49,112684,Central Mehwar,,,
no_match,50,112804,Dalga Station,,,
no_match,51,105527,Damanhour,,,
no_match,52,112677,Damietta Port,,,
no_match,53,105520,Dekerness,,,
no_match,54,113576,Desert Road COCO,,,
no_match,55,505420,Deshna,,,
no_match,56,112791,Desouk Station,,,
no_match,57,112645,Diarb Negm,,,
no_match,58,112735,Dina Farms Station,,,
no_match,59,112736,Drawo Station,,,
no_match,60,105532,Agamy,,,
no_match,61,506579,El Ahrar Station,,,
no_match,62,112627,El Alamein,,,
no_match,63,504275,Awayed,,,
no_match,64,112816,El Ayat Station,,,
no_match,65,112646,Badrasheen City,,,
no_match,66,112685,El Bahr El Azam,,,
no_match,67,105511,Bouha,,,
no_match,68,500517,El Borg,,,
no_match,69,112812,El Burullus Station,,,
no_match,70,119040,El Eshreen ST Statio,,,
no_match,71,117535,El Haram,,,
no_match,72,112778,El Hosary Station,,,
no_match,73,105488,Kalag,,,
no_match,74,113931,Mahala,,,
no_match,75,105503,El Marg,,,
no_match,76,112844,El Nour Station,,,
no_match,77,114805,El Riad S/S,,,
no_match,78,116038,New Sadat,,,
no_match,79,112472,El Saf,,,
no_match,80,112833,El Salam Station,,,
no_match,81,105477,Shorouk,,,
no_match,82,105498,Sheikh Zayed,,,
no_match,83,117955,Taween-Faisal,,,
no_match,84,105506,Tawfikia,,,
no_match,85,110088,El Tebeen,,,
no_match,86,117536,Faisal,,,
no_match,87,110825,Farskour ,,,
no_match,88,112841,Farokeya Station,,,
no_match,89,105505,Fayoum Road,,,
no_match,90,105519,Fleming,,,
no_match,91,503565,EL Gabal EL Asfar S.,,,
no_match,92,112680,Ghamra,,,
no_match,93,112783,Gisr El Suez Station,,,
no_match,94,500256,Golf Obour Station,,,
no_match,95,112738,Hadabet Mokattam,,,
no_match,96,112840,Hadayek El Ahram Sta,,,
no_match,97,112887,Haram ST,,,
no_match,98,504127,Hassan El Maamon Service Station,,,
no_match,99,112824,Hehya Station,,,
no_match,100,502056,Heliopolis,,,
no_match,101,112639,Herreya,,,
no_match,102,112640,Hurghada,,,
no_match,103,112839,Imbaba Station,,,
no_match,104,112610,International Coast,,,
no_match,105,105518,International Road,,,
no_match,106,112656,Ismailia,,,
no_match,107,112817,Ismailia Ring Road S,,,
no_match,108,105512,Janaklees,,,
no_match,109,112757,Kabbary,,,
no_match,110,107275,Kafr El Dawwar,,,
no_match,111,112277,Kafr El Sheikh ,,,
no_match,112,112923,Kafr El Zayyat City,,,
no_match,113,112785,Kafr El Batekh,,,
no_match,114,112111,Kalyoub S/S,,,
no_match,115,105528,Kanater Khaireya,,,
no_match,116,118986,Katameya Heights,,,
no_match,117,112796,Katameya Mahager Sta,,,
no_match,118,108215,Katameya,,,
no_match,119,112932,Kewesna,,,
no_match,120,112821,Khanka Station,,,
no_match,121,112752,King Faisal,,,
no_match,122,118195,King Othman,,,
no_match,123,112793,Kom Ombo Station,,,
no_match,124,504889,Kotoor S./St.,,,
no_match,125,112679,Krir,,,
no_match,126,116164,Maadi Autostrad COCO,,,
no_match,127,111853,Maadi Corniche,,,
no_match,128,107270,Maadi Degla,,,
no_match,129,112768,Maadi Dina,,,
no_match,130,500594,Maadi Nasr,,,
no_match,131,106706,Madinaty,,,
no_match,132,112678,Mahmoudeya,,,
no_match,133,502907,Makkram Ebid-El Serg,,,
no_match,134,115816,Makram Street SS,,,
no_match,135,112820,Manayef Station,,,
no_match,136,105533,Manial Sheha,,,
no_match,137,112683,Mansheyet Al Ahrar,,,
no_match,138,112830,Mansoura Station,,,
no_match,139,112930,Mansoureya,,,
no_match,140,106311,Marina,,,
no_match,141,112754,Master,,,
no_match,142,112616,Mearag,,,
no_match,143,504591,Mehwar Station,,,
no_match,144,105479,Menouf,,,
no_match,145,112628,Merghem,,,
no_match,146,105534,Menesterly,,,
no_match,147,112801,Minya Station,,,
no_match,148,112626,Misr & Sudan,,,
no_match,149,105508,Mit Berrah,,,
no_match,150,112806,Mit Ghamr Station,,,
no_match,151,105510,Mit Korashy,,,
no_match,152,117683,Mokattam ST 9 Statio,,,
no_match,153,112810,Mokattam Station,,,
no_match,154,112784,Moneeb Station,,,
no_match,155,503980,Montazah,,,
no_match,156,112625,Morour,,,
no_match,157,105471,Moustafa El Nahas,,,
no_match,158,105543,Mostafa Kamel,,,
no_match,159,112587,Mostorod,,,
no_match,160,112924,Nahas,,,
no_match,161,115502,NEW AGA,,,
no_match,162,507113,New Capital,,,
no_match,163,501710,Aslougy,,,
no_match,164,115356,New Kattameya Statio,,,
no_match,165,112814,New Maadi  Station,,,
no_match,166,111521,Nasr City,,,
no_match,167,118479,New Saff S/St,,,
no_match,168,118652,New Shorouk,,,
no_match,169,506914,New Suez,,,
no_match,170,504715,Obour,,,
no_match,171,107543,Obour City,,,
no_match,172,112809,October Industrial S,,,
no_match,173,502753,Omraa Village,,,
no_match,174,112838,Pyramids Station,,,
no_match,175,111796,R.U.C.,,,
no_match,176,112822,Ras El Bar Station,,,
no_match,177,502894,Road 90,,,
no_match,178,111247,Sadat ,,,
no_match,179,112931,Salam Bridge,,,
no_match,180,112594,Salhiya City,,,
no_match,181,112675,Samannoud,,,
no_match,182,504201,Saqqarah,,,
no_match,183,505420,Saryakos Station,,,
no_match,184,500689,Sawah,,,
no_match,185,112807,Sefarat Station,,,
no_match,186,105504,Seoud,,,
no_match,187,501742,Sharkeya Station,,,
no_match,188,105495,Shawa,,,
no_match,189,105530,Shoha,,,
no_match,190,505168,Shorouk City,,,
no_match,191,112673,Sidi Krir,,,
no_match,192,505547,Sidi salem,,,
no_match,193,112842,Siuf Station,,,
no_match,194,112733,Suez Station,,,
no_match,195,503941,Suez Tunnel Station,,,
no_match,196,105486,Tala,,,
no_match,197,112740,Tanta,,,
no_match,198,112593,Tayaran,,,
no_match,199,119136,Tersa,,,
no_match,200,105497,Toukh,,,
no_match,201,112611,Wahat,,,
no_match,202,112636,Warrak,,,
no_match,203,112637,Warrak El Arab,,,
no_match,204,105507,Western Asyut,,,
no_match,205,503020,Maadi Laselky,,,
no_match,206,501157,Misr El Gedida S/S H,,,
no_match,207,501350,Suez University,,,
no_match,208,501482,Tchacos,,,
no_match,209,112917,Zagazig City,,,
no_match,210,502764,Zayat Agricultural S,,,
no_match,211,505420,Zayed City,,,
no_match,212,105476,Zomor,,,
no_match,213,500228,Gamasa S.ST,,,
no_match,214,502491,Autostrad Mokattam C,,,
no_match,215,112832,El Azizia Station,,,
no_match,216,105540,Belkas,,,
no_match,217,503127,El Bagoor S/ST,,,
no_match,218,502879,Damietta International Road,,,
no_match,219,503760,Hurghada Red Sea S/S,,,
no_match,220,502987,Regional Ring Road P,,,
no_match,221,503106,Ring Road Suez COCO,,,
no_match,222,504156,AL Khodary,,,
no_match,223,504618,Katameya R.R - DODO,,,
no_match,224,504126,New Nahas,,,
no_match,225,505780,Oasis,,,
no_match,226,505756,New Obour,,,
no_match,227,1112001,Cavallo Rosso,,,
no_match,228,1113009,Twalet station,,,
no_match,229,1113005,Campo polo,,,
no_match,230,1114015,Okbahile station,,,
no_match,231,1113002,Duex palm,,,
no_match,232,1114012,Stadium station,,,
no_match,233,1114013,Adi abyeto,,,
no_match,234,1113006,Godaif station,,,
no_match,235,1114011,Ring Road,,,
no_match,236,114014,Senai akria ,,,
no_match,237,1113003,Massawa Road,,,
no_match,238,1114017,Market F/S *,,,
no_match,239,1114032,Giramy luba,,,
no_match,240,1113008,Keren station-Fshaye,,,
no_match,241,1114034,Yirga Tessenay,,,
no_match,242,1114023,Mendefera station - Hassen,,,
no_match,243,1114020,GEBRU FESSEHAZION F/S,,,
no_match,244,1114019,SALVI PAULO S/S,,,
no_match,245,1114010,OGBAY TEKLESENBET S/S,,,
no_match,246,1114018,GHILAY ABRAHA,,,
no_match,247,1114029,TEKIE GEDELA F/S,,,
no_match,248,1114031,EWDFA F/S,,,
no_match,249,278925,ALI MOHAMMED ALI F/S (CODO),,,
no_match,250,278968,AMLESET TEKIE F/S (DODO),,,
no_match,251,278938,ARAYA TSEGAY S/S  (DODO),,,
no_match,252,278936,DECEMHARE DODO,,,
no_match,253,278932,ASTER YEMANE S/S  (DODO),,,
no_match,254,278976,ALHASSEN MOHAMMED TAHIR F/S  (DODO),,,
no_match,255,278974,BERAKI TESFAGABIR F/S  (DODO),,,
no_match,256,278971,ALMAZ MEALO S/S  (DODO),,,
no_match,257,278973,ERITRUCKO S/C  (DODO),,,
no_match,258,278964,HAILEMELEKOT ASMAELASH  (DODO),,,
no_match,259,278952,TEBERH WELDEMARIAM S/S  (DODO),,,
no_match,260,278970,TIBLEZ DEBESSAY F/S  (DODO),,,
no_match,261,100000,ABATTOIRS S/S,,,
no_match,262,100104,ADET S/S,,,
no_match,263,500652,AKAKI BESEKA ,,,
no_match,264,104625,AMBO S/S,,,
no_match,265,100504,APPOSTO S/S,,,
no_match,266,100325,ARAT KILO S/S,,,
no_match,267,100006,ARBAMINCH WUHAMINCH S/S,,,
no_match,268,100009,ASEBETEFERI S/S,,,
no_match,269,109465,ASSELA MEGBYA S/S,,,
no_match,270,103893,ASSELA MENAHRIYA S/S,,,
no_match,271,100207,ASSOSSA S/S,,,
no_match,272,100510,AWASH SEBAT S/S,,,
no_match,273,100853,AWASSA AREB SEFER S/S,,,
no_match,274,100217,AWASSA CITY CENTER S/S,,,
no_match,275,100154,AWASSA MENAHERIA AKABAI S/S,,,
no_match,276,100010,AWASSA PIASSA S/S,,,
no_match,277,104434,AYAT 1 S/S,,,
no_match,278,100198,BABILLE S/S,,,
no_match,279,500308,BAHIR DAR ABAY MADO S/S,,,
no_match,280,109735,BAHIR DAR SHOA BER S/S,,,
no_match,281,104126,BALE ROBE MEGBIYA S/S,,,
no_match,282,104125,BEDESSA KELA SEFER S/S,,,
no_match,283,105136,BETHEL S/S,,,
no_match,284,100409,BITCHENA S/S,,,
no_match,285,104169,BODITI S/S,,,
no_match,286,100188,BOLE ROAD S/S,,,
no_match,287,100187,BULGARIA S/S,,,
no_match,288,100774,BUTAJIRA S/S,,,
no_match,289,104290,CAMPO ASMARA S/S,,,
no_match,290,109914,CASAINCHES S/S,,,
no_match,291,107350,COLSON STREET S/S,,,
no_match,292,100514,COMBOLCHA CITY CENER S/S,,,
no_match,293,100515,COMBOLCHA DESSIE ROUTE S/S,,,
no_match,294,104195,COMBOLCHA SHOA ROUTE S/S,,,
no_match,295,100114,DEBRE MARKOS ADDIS ABABA BER S/S,,,
no_match,296,105965,DEBREBREHAN S/S,,,
no_match,297,501261,DEBREZAIT,,,
no_match,298,100706,DESSIE BUAMBUA WEHA S/S,,,
no_match,299,100277,DESSIE MENAHERIA S/S,,,
no_match,300,104080,DESSIE TELE S/S,,,
no_match,301,107601,DICIOTTO S/S,,,
no_match,302,100195,DILLA MOBIL SEFER S/S,,,
no_match,303,100030,DIRE DAWA KEZIRA S/S,,,
no_match,304,105153,DIRE DAWA MARIAM SEFER S/S,,,
no_match,305,501210,DIRE DAWA MEGALA,,,
no_match,306,100181,DIREDAWA RAS S/S,,,
no_match,307,100016,DODOLLA S/S,,,
no_match,308,108240,EFFESON S/S,,,
no_match,309,100509,GALAFI S/S,,,
no_match,310,109282,GIMBI S/S,,,
no_match,311,100218,GINCHI S/S,,,
no_match,312,500309,GOJAM ROUTE S/S,,,
no_match,313,500195,GONDAR AIRPORT S/S,,,
no_match,314,100025,GONDAR CHECHELLA S/S,,,
no_match,315,110035,GONDAR MEGECH S/S,,,
no_match,316,100137,GONDAR PIASSA S/S,,,
no_match,317,107570,GULLELE MEDHANIALEM SCHOOL S/S,,,
no_match,318,108667,HAILE GARMENT(LEBU) S/S,,,
no_match,319,105875,HARAMBE FIL WUHA S/S,,,
no_match,320,100201,HARAR ABOKER S/S,,,
no_match,321,100026,HARAR ARATEGNA S/S,,,
no_match,322,100107,HARAR COMBOLCHA S/S,,,
no_match,323,100456,HARAR MENSHEN FOR MENSHEN S/S,,,
no_match,324,100179,HARAR RAS S/S,,,
no_match,325,107292,HOSSANA ARADA S/S,,,
no_match,326,109737,JGJIGA TOGOCHALE ROAD S/S,,,
no_match,327,100452,JIJIGA S/S,,,
no_match,328,100363,JIMMA AWETU  S/S,,,
no_match,329,107045,JIMMA DINA SEFER S/S,,,
no_match,330,100269,JIMMA ROUTE WOLETE S/S,,,
no_match,331,100184,JIMMA TEKA HOTEL S/S,,,
no_match,332,110090,KALITY CROWN S/S,,,
no_match,333,108233,KALITY FALOGORA S/S,,,
no_match,334,107337,KALITY GELAN S/S,,,
no_match,335,100031,KOSSOBER S/S,,,
no_match,336,106510,LAMBERET S/S,,,
no_match,337,109300,LOGIA MEGBIA S/S,,,
no_match,338,100457,MECHARA S/S,,,
no_match,339,100008,MEGENAGNA S/S,,,
no_match,340,100220,MEKELE GODANA MUSE S/S,,,
no_match,341,100285,MEKELLE ILALLA  S/S,,,
no_match,342,103832,MEKELLE PIASSA S/S,,,
no_match,343,100209,MENDI S/S,,,
no_match,344,100419,MERKATO AMANUEL S/S,,,
no_match,345,100707,MERKATO RAS THEATRE S/S,,,
no_match,346,104090,MERKATO SHENKORA BERENDA S/S,,,
no_match,347,100189,MESKEL SQUARE S/S,,,
no_match,348,100491,METTU GORE ROUTE S/S,,,
no_match,349,100490,METTU SOR RIVER S/S,,,
no_match,350,100192,MEXICO SQUARE S/S,,,
no_match,351,106665,MICHETA S/S,,,
no_match,352,109304,MILLE HAWSINU S/S,,,
no_match,353,108736,MINILQUE SQUARE S/S,,,
no_match,354,105846,MIZAN TEFERI S/S,,,
no_match,355,500280,MODJO AWASH TANNERY S/S (Modjo 3),,,
no_match,356,500496,MODJO BEKELE MOLA S/S,,,
no_match,357,500612,MODJO MISRAK,,,
no_match,358,106522,MOTTA S/S,,,
no_match,359,104891,MOYALE NO II S/S,,,
no_match,360,100020,NAZRETH SODORE ROAD S/S,,,
no_match,361,100204,NAZRETH WENJI MAZORIA S/S,,,
no_match,362,109105,NEKEMPT ASSOSA REOUTE S/S,,,
no_match,363,100182,NEKEMPT BUNA BOARD,,,
no_match,364,100040,NIFAS SILK S/S,,,
no_match,365,100135,PARTIORS SEBARA BABUR S/S,,,
no_match,366,100190,SEBATEGNA MERKATO S/S,,,
no_match,367,109380,SHAKISO S/S,,,
no_match,368,100176,SHASHEMENE ALABA MAZORIA S/S,,,
no_match,369,105980,SHASHEMENE AWASSA ROUTE S/S,,,
no_match,370,109245,STADIUM LALIBELA HOTEL S/S,,,
no_match,371,109525,TATEK AMPHO MEDA S/S,,,
no_match,372,100328,TEMENJA YAJ S/S,,,
no_match,373,108440,TULU DIMTU S/S,,,
no_match,374,107456,WELLISO,,,
no_match,375,100043,WOLAITA ARADA S/S,,,
no_match,376,100503,WOLAITA WADU SEFER S/S,,,
no_match,377,106619,WOLDYA S/S,,,
no_match,378,100208,WOLKITE BEKUR SEFER S/S,,,
no_match,379,109000,WOLKITE SORESSA HOTEL S/S,,,
no_match,380,100200,YABELLO S/S,,,
no_match,381,100498,YIRGALEM S/S,,,
no_match,382,100196,ZEWAY MEGBIYA S/S,,,
no_match,383,1114386,AGAFAY,,,
match_no_change,384,,,cost_center,,
no_match,385,1114242,AGUELMOUSS,,,
match_no_change,386,,,cost_center,,
match_no_change,387,,,cost_center,,
no_match,388,1114400,AMEZMIZ,,,
match_no_change,389,,,cost_center,,
match_no_change,390,,,cost_center,,
no_match,391,1114215,BENGUERIR,,,
match_no_change,392,,,cost_center,,
no_match,393,1114395,BENMOUSSA,,,
no_match,394,1114405,BOUMAIZA,,,
no_match,395,1114291,BOUMIA,,,
no_match,396,1114389,DAHOMEY,,,
no_match,397,1114414,DRARGA,,,
match_no_change,398,,,cost_center,,
match_no_change,399,,,cost_center,,
no_match,400,1114388,ICHRAK PARK,,,
no_match,401,1114224,JORF,,,
no_match,402,1114265,KAA ASRASS,,,
match_no_change,403,,,cost_center,,
match_no_change,404,,,cost_center,,
match_no_change,405,,,cost_center,,
no_match,406,1114272,MISSOUR,,,
no_match,407,1114409,MZOUDA,,,
match_no_change,408,,,cost_center,,
no_match,409,1114422,OULED TALHA,,,
no_match,410,1114204,OURIKA,,,
no_match,411,1114288,RELAIS AIT MELLOUL,,,
no_match,412,1114294,RELAIS LOUKOS,,,
no_match,413,1114458,RICH,,,
match_no_change,414,,,cost_center,,
no_match,415,1114406,RYAD ANGAD,,,
match_no_change,416,,,cost_center,,
match_no_change,417,,,cost_center,,
no_match,418,1114418,SIDI BIBI,,,
no_match,419,1114363,SIDI BOUZID,,,
no_match,420,1114383,SIDI TIJI,,,
no_match,421,1114261,TAMARIS II,,,
no_match,422,1114270,TAZAKHTE,,,
no_match,423,1114264,TAZENAKHT,,,
match_no_change,424,,,cost_center,,
no_match,425,1114282,TINGHIR,,,
no_match,426,1114214,TINIJDAD,,,
no_match,427,1114379,TNINE CHTOUKA 2,,,
no_match,428,1114290,ZAGORA,,,
no_match,429,1114448,ZI AIN SEBAA,,,
match_no_change,430,,,cost_center,,
no_match,431,1114482,STATION 11 JANVIER,,,
no_match,432,1114407,ABDA,,,
no_match,433,1112220,ABDELMOUMEN,,,
no_match,434,1114533,ABOUFARIS ,,,
match_no_change,435,,,cost_center,,
match_no_change,436,,,cost_center,,
no_match,437,1112224,AGDAL,,,
match_no_change,438,,,cost_center,,
match_no_change,439,,,cost_center,,
no_match,440,1112267,AIN HAMRA,,,
match_no_change,441,,,cost_center,,
match_no_change,442,,,cost_center,,
no_match,443,1112230,AIN MAAZI,,,
no_match,444,1112272,AIN SEBAA,,,
no_match,445,1114275,AIT BAHA,,,
no_match,446,1114319,AIT CHOUT,,,
no_match,447,1114467,AIT IAZZA,,,
match_no_change,448,,,cost_center,,
no_match,449,1114259,AKHOUDAS,,,
no_match,450,1114512,AKLIM,,,
no_match,451,1114287,AL AIOUN,,,
no_match,452,1112264,AL AMAL,,,
no_match,453,1114526,AL BASATINE,,,
match_no_change,454,,,cost_center,,
match_no_change,455,,,cost_center,,
no_match,456,1114490,AL IRFANE OUJDA,,,
no_match,457,1112232,AL MADINA,,,
no_match,458,1114471,AL MAKSSEM,,,
no_match,459,1112260,AL MANAR,,,
no_match,460,1112247,AL MASSIRA,,,
match_no_change,461,,,cost_center,,
match_no_change,462,,,cost_center,,
no_match,463,1114487,AL WIFAQ,,,
match_no_change,464,,,cost_center,,
no_match,465,1114312,ALLOUANI,,,
no_match,466,1112216,ALMA,,,
no_match,467,1114408,AMGHAR,,,
no_match,468,1114503,ANZA VILLE,,,
no_match,469,1114502,ANZA1,,,
match_no_change,470,,,cost_center,,
no_match,471,1113221,ARTISANAT,,,
match_no_change,472,,,cost_center,,
no_match,473,1112233,ATLAS,,,
no_match,474,1113210,ATTACHAROUK,,,
no_match,475,1112286,ATTAOUIA,,,
no_match,476,1113219,AUTO LION,,,
no_match,477,1112293,AVENIR,,,
match_no_change,478,,,cost_center,,
no_match,479,1114278,AZEMMOUR,,,
no_match,480,1114413,AZROU,,,
match_no_change,481,,,cost_center,,
match_no_change,482,,,cost_center,,
match_no_change,483,,,cost_center,,
no_match,484,1114453,BELAIR,,,
no_match,485,1114426,BELFAA,,,
no_match,486,1114479,BEN AHMED,,,
no_match,487,1114534,BENGUERIR ESSAADA,,,
no_match,488,1114258,BENI HADIFA,,,
match_no_change,489,,,cost_center,,
no_match,490,1114485,BENI YAKHLEF,,,
match_no_change,491,,,cost_center,,
match_no_change,492,,,cost_center,,
match_no_change,493,,,cost_center,,
no_match,494,1114301,BOUCHRANE,,,
match_no_change,495,,,cost_center,,
no_match,496,1114210,BOUJNIBA,,,
match_no_change,497,,,cost_center,,
no_match,498,1114243,BOUZNIKA,,,
match_no_change,499,,,cost_center,,
match_no_change,500,,,cost_center,,
no_match,501,1114345,CHBAKI,,,
match_no_change,502,,,cost_center,,
match_no_change,503,,,cost_center,,
match_no_change,504,,,cost_center,,
match_no_change,505,,,cost_center,,
no_match,506,1112227,DAR CHEMS,,,
no_match,507,1113206,DAR SI AISSA,,,
match_no_change,508,,,cost_center,,
match_no_change,509,,,cost_center,,
no_match,510,1113213,DJEBILET,,,
no_match,511,1112241,DJEMAA SAHIM,,,
no_match,512,1113216,DJERIFET,,,
no_match,513,1114462,DLALHA,,,
no_match,514,1112261,DOUANE,,,
no_match,515,1114237,DOUAR LAHDAR,,,
no_match,516,1112265,DOUKKALA,,,
no_match,517,1112257,DU GHARB,,,
no_match,518,1112276,DU PARC,,,
match_no_change,519,,,cost_center,,
no_match,520,1112222,EL FARAH,,,
no_match,521,1112300,EL GHOUROUB,,,
no_match,522,1112208,EL HAJEB,,,
no_match,523,1114311,EL HOUARI,,,
no_match,524,1114273,EL KALAI,,,
match_no_change,525,,,cost_center,,
match_no_change,526,,,cost_center,,
match_no_change,527,,,cost_center,,
no_match,528,1114267,ERFOUD,,,
no_match,529,1114486,ERRACHIDIA,,,
no_match,530,1114522,Espace Raha,,,
no_match,531,1112240,ESSAOUIRA,,,
no_match,532,1112258,ETTAJ,,,
no_match,533,1112248,EUROPE,,,
match_no_change,534,,,cost_center,,
match_no_change,535,,,cost_center,,
no_match,536,1114381,FKIH BENSALEH,,,
no_match,537,1114412,FOUM EL GHEZLANE,,,
no_match,538,1112235,GARAGE BENSLIMANE,,,
no_match,539,1112299,GARAGE EL ALIA,,,
no_match,540,1114326,GARE,,,
no_match,541,1112239,GHABA,,,
no_match,542,1114284,GHAFSAI,,,
no_match,543,1114392,GHANDI,,,
no_match,544,1114411,GHAZOUA,,,
no_match,545,1114464,GORGES DE TODGHA,,,
no_match,546,1114314,GOULIMINE,,,
match_no_change,547,,,cost_center,,
no_match,548,1114231,HAD HARRARA,,,
match_no_change,549,,,cost_center,,
no_match,550,1114385,HAKAMA,,,
no_match,551,1114525,HOUMER,,,
no_match,552,1112266,IBN TACHEFINE,,,
no_match,553,1112249,IDRISS II,,,
no_match,554,1112253,IDRISSIA,,,
no_match,555,1114212,IKAOUEN,,,
match_no_change,556,,,cost_center,,
match_no_change,557,,,cost_center,,
no_match,558,1114293,INZEGANE,,,
no_match,559,1114510,IRIS,,,
no_match,560,1114419,ISMAILIya,,,
no_match,561,1114321,JADI,,,
no_match,562,1114223,JEMAA LARIAH,,,
match_no_change,563,,,cost_center,,
no_match,564,1112244,KACHKAT,,,
no_match,565,1114456,KARIAT AYOUB,,,
match_no_change,566,,,cost_center,,
match_no_change,567,,,cost_center,,
match_no_change,568,,,cost_center,,
no_match,569,1114532,KHOURIBGA (GOUBI),,,
no_match,570,1114296,KM 18,,,
no_match,571,1114484,KSIBA,,,
no_match,572,1112256,KSIRI,,,
match_no_change,573,,,cost_center,,
no_match,574,1114255,LAAOUAMRA,,,
no_match,575,1114469,LAZARET,,,
match_no_change,576,,,cost_center,,
no_match,577,1112218,LES CERISES,,,
no_match,578,1114524,Les Frontieres SIKILIA ,,,
no_match,579,1114504,LES ORANGERS ,,,
no_match,580,1112225,LIBERTE,,,
match_no_change,581,,,cost_center,,
no_match,582,1114481,LOUIZIA,,,
no_match,583,1114514,LUXOR,,,
no_match,584,1112236,MAAMORA,,,
no_match,585,1112315,MALAKIA,,,
no_match,586,1112294,MAMOUNIA,,,
match_no_change,587,,,cost_center,,
no_match,588,1112274,MARINA,,,
match_no_change,589,,,cost_center,,
no_match,590,1114228,MARINA MARBELLA,,,
match_no_change,591,,,cost_center,,
no_match,592,1112205,M'DAKRA,,,
no_match,593,1114444,MEDIOUNA,,,
match_no_change,594,,,cost_center,,
no_match,595,1112259,MENASRA,,,
no_match,596,1114492,MERS EL KHEIR,,,
match_no_change,597,,,cost_center,,
no_match,598,1113232,MOGADOR,,,
match_no_change,599,,,cost_center,,
no_match,600,1112219,MOULAY ALI,,,
no_match,601,1112250,MOULOUYA,,,
match_no_change,602,,,cost_center,,
no_match,603,1114295,MRIRT,,,
no_match,604,1113209,MY DRISS,,,
no_match,605,1113226,NAKHIL II,,,
match_no_change,606,,,cost_center,,
no_match,607,1114323,NEJMA,,,
no_match,608,1112280,NEKKOR,,,
match_no_change,609,,,cost_center,,
no_match,610,1114463,OCEAN,,,
no_match,611,1112269,OUAZZENE,,,
match_no_change,612,,,cost_center,,
match_no_change,613,,,cost_center,,
no_match,614,1111101,OUED MELLAH,,,
no_match,615,1112221,OUED SOUSS,,,
no_match,616,1114424,OUJDA,,,
no_match,617,1112204,OULAD ABBOU,,,
no_match,618,1114546,OULED FREJ,,,
no_match,619,1112246,OULED HARRIZ,,,
no_match,620,1114308,OULED JELLOUL,,,
match_no_change,621,,,cost_center,,
no_match,622,1112229,OULED ZIANE,,,
no_match,623,1114325,OUM ERRABII,,,
no_match,624,1114460,OUM ERRABII KHENIFRA,,,
no_match,625,1112252,PALMERAS,,,
no_match,626,1112223,PALMIERS,,,
no_match,627,1112209,PANORAMA,,,
no_match,628,1114398,PORT ASILAH,,,
no_match,629,1114401,PORT DE HOCEIMA,,,
no_match,630,1112281,PORT DE NADOR,,,
no_match,631,1114454,PORT DE PECHE BHIBEH,,,
match_no_change,632,,,cost_center,,
no_match,633,1112278,PORT DE PECHE CASA,,,
no_match,634,1112279,PORT DE PECHE ESSAOUIRA,,,
no_match,635,1114320,PORT DE PECHE ESSOUIRIA,,,
no_match,636,1114347,PORT DE PECHE LARACHE,,,
no_match,637,1114205,PORT DE PECHE SAFI,,,
no_match,638,1114470,PORTES DE L'ORIENTAL,,,
no_match,639,1112288,RACINE,,,
match_no_change,640,,,cost_center,,
match_no_change,641,,,cost_center,,
match_no_change,642,,,cost_center,,
no_match,643,1114472,RELAIS BOUREGREG,,,
no_match,644,1113205,RELAIS CHAOUIA,,,
match_no_change,645,,,cost_center,,
no_match,646,1112234,RELAIS DE FES,,,
no_match,647,1112301,RELAIS EL MANSOUR,,,
match_no_change,648,,,cost_center,,
no_match,649,1114450,RELAIS MAZAGAN,,,
