[2025-10-22T04:22:10.773+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-22T04:19:53.464011+00:00 [queued]>
[2025-10-22T04:22:10.925+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-22T04:19:53.464011+00:00 [queued]>
[2025-10-22T04:22:11.076+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-10-22T04:22:11.138+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_to_dw_scd2> on 2025-10-22 04:19:53.464011+00:00
[2025-10-22T04:22:11.252+0000] {standard_task_runner.py:60} INFO - Started process 2347 to run task
[2025-10-22T04:22:11.270+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_pipeline_scd2', 'load_to_dw_scd2', 'manual__2025-10-22T04:19:53.464011+00:00', '--job-id', '116', '--raw', '--subdir', 'DAGS_FOLDER/process_scripts.py', '--cfg-path', '/tmp/tmpl2u34ci5']
[2025-10-22T04:22:11.352+0000] {standard_task_runner.py:88} INFO - Job 116: Subtask load_to_dw_scd2
[2025-10-22T04:22:11.447+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.11/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-10-22T04:22:11.752+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-22T04:19:53.464011+00:00 [running]> on host 436d1e220711
[2025-10-22T04:22:12.099+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_pipeline_scd2' AIRFLOW_CTX_TASK_ID='load_to_dw_scd2' AIRFLOW_CTX_EXECUTION_DATE='2025-10-22T04:19:53.464011+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-22T04:19:53.464011+00:00'
[2025-10-22T04:22:14.813+0000] {scd2_loader.py:320} INFO - Traitement dynamique du fichier: Country_code_20251022.xlsx pour map_key=country_code
[2025-10-22T04:22:15.673+0000] {scd2_loader.py:373} WARNING - 1 lignes ignorées (clés manquantes) dans Country_code_20251022.xlsx::Sheet1
[2025-10-22T04:22:15.969+0000] {scd2_loader.py:244} INFO - Doublon ignoré pour dim_pays clé=('NG',)
[2025-10-22T04:22:16.006+0000] {scd2_loader.py:244} INFO - Doublon ignoré pour dim_pays clé=('YT',)
[2025-10-22T04:22:16.013+0000] {scd2_loader.py:244} INFO - Doublon ignoré pour dim_pays clé=('EG',)
[2025-10-22T04:22:16.090+0000] {scd2_loader.py:244} INFO - Doublon ignoré pour dim_pays clé=('ER',)
[2025-10-22T04:22:16.113+0000] {scd2_loader.py:244} INFO - Doublon ignoré pour dim_pays clé=('ET',)
[2025-10-22T04:22:16.164+0000] {scd2_loader.py:244} INFO - Doublon ignoré pour dim_pays clé=('MG',)
